local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c
5.3,14.5,2.613755195621232,1.7125000000000001,2.837071651090343,2.785005195621232,1.7,1.5,1.7
5.8,14.5,4.927605877605749,2.6999999999999997,2.8421296296296297,5.197605877605748,0.5,2.7,2.4
6.4,12.6,2.8815344944027035,2.5625,2.8451070336391435,3.1377844944027036,3.9,1.8,2.5
4.8,14.0,2.8723404657749256,2.1375,2.847727272727273,3.0860904657749257,0.8,1.8,2.1
7.0,12.7,3.260009351540922,2.5625,2.8516516516516517,3.516259351540922,1.8,2.0,2.5
7.9,12.0,4.840948419868822,2.3625,2.855803571428571,5.0771984198688225,3.4,2.3,2.1
7.4,13.3,5.580508486577849,2.4875000000000003,2.861061946902655,5.829258486577849,0.6,3.2,2.5
7.0,11.4,3.6795858105644035,2.225,2.8628654970760232,3.9020858105644036,2.2,2.0,2.2
7.0,11.4,4.872987794405105,2.5625,2.86463768115942,5.129237794405105,1.8,2.6,2.5
8.0,10.7,4.36655521656842,1.6875,2.866810344827586,4.53530521656842,1.2,2.3,1.5
9.1,10.4,3.9372092122144196,2.15,2.8700854700854697,4.152209212214419,2.8,2.0,2.2
9.0,11.0,4.071127961777077,2.0375,2.874011299435028,4.274877961777078,2.5,2.2,1.9
7.4,11.6,4.555812125888092,2.0375,2.876470588235294,4.759562125888093,3.1,2.0,1.9
7.2,12.8,2.9994307954682826,2.3625,2.880277777777778,3.2356807954682827,2.9,1.7,2.1
6.8,13.6,4.686618828849799,2.725,2.884573002754821,4.959118828849799,1.0,2.6,2.6
7.1,12.0,5.002588687472722,2.8125,2.8870218579234974,5.283838687472722,0.3,2.8,2.7
8.2,9.6,4.976195152117655,2.325,2.887669376693767,5.208695152117655,0.8,2.7,2.4
